EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,JobRole,MonthlyIncome,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
1,41,No,Travel_Rarely,Research & Development,3,2,Marketing,4,Female,1,2,Research Director,6758,Single,1,No,15,3,1,17,0,4,4,1
2,35,No,Travel_Rarely,Sales,7,2,Medical,1,Female,4,2,Sales Representative,7699,Divorced,0,No,17,3,1,11,3,2,3,2
3,18,Yes,Travel_Rarely,Sales,11,3,Medical,1,Male,1,3,Sales Representative,7731,Single,4,Yes,17,4,2,0,1,1,0,0
4,37,No,Travel_Rarely,Research & Development,3,5,Marketing,1,Male,3,3,Research Scientist,7417,Married,2,Yes,14,3,1,19,3,3,2,2
5,29,No,Travel_Rarely,Research & Development,6,4,Technical Degree,1,Male,1,2,Research Director,7046,Single,4,Yes,13,4,0,5,2,4,5,4
6,40,No,Travel_Rarely,Research & Development,29,3,Human Resources,2,Female,2,4,Research Scientist,9057,Divorced,3,Yes,14,3,1,17,3,4,1,1
7,37,No,Travel_Frequently,Sales,9,4,Technical Degree,2,Female,1,3,Sales Executive,8128,Single,1,No,11,3,2,12,3,4,5,4
8,38,No,Travel_Rarely,Sales,1,4,Technical Degree,2,Female,2,1,Manager,10937,Single,1,No,16,3,1,17,3,4,10,3
9,40,No,Travel_Rarely,Research & Development,18,3,Human Resources,1,Female,3,4,Research Scientist,7735,Married,3,No,14,3,2,14,0,4,3,2
10,33,No,Non-Travel,Research & Development,1,3,Other,2,Female,2,3,Research Director,10124,Divorced,3,Yes,14,3,0,11,2,3,11,4
11,41,No,Travel_Rarely,Research & Development,1,3,Other,2,Male,1,2,Laboratory Technician,8892,Married,4,No,21,3,2,26,1,2,8,2
12,25,No,Travel_Frequently,Sales,4,1,Human Resources,1,Female,2,1,Sales Representative,10483,Divorced,3,No,17,3,0,7,5,2,6,6
13,34,No,Non-Travel,Sales,4,3,Medical,3,Female,4,2,Manager,6491,Married,1,No,14,4,1,15,1,2,0,0
14,38,No,Travel_Rarely,Research & Development,1,3,Human Resources,2,Male,2,1,Healthcare Representative,9372,Married,3,No,13,3,0,16,4,2,8,2
15,36,No,Travel_Rarely,Research & Development,1,5,Other,4,Female,1,1,Manufacturing Director,5978,Divorced,5,No,11,4,0,14,5,4,2,2
16,44,No,Travel_Rarely,Research & Development,4,4,Medical,1,Male,4,1,Research Director,6970,Married,5,No,21,3,3,22,4,2,6,6
17,36,No,Travel_Rarely,Research & Development,10,3,Other,1,Male,2,2,Research Director,8175,Married,1,No,15,3,3,13,0,2,0,0
18,37,No,Travel_Rarely,Research & Development,4,2,Human Resources,2,Female,4,4,Manager,6932,Single,1,No,21,3,0,13,1,4,6,6
19,25,No,Travel_Rarely,Sales,1,3,Life Sciences,1,Female,3,3,Sales Executive,7970,Divorced,2,No,15,3,2,6,2,2,6,5
20,42,No,Travel_Frequently,Sales,2,1,Medical,2,Female,1,1,Manager,7238,Married,0,No,12,3,2,18,4,4,10,3
21,39,No,Non-Travel,Research & Development,4,4,Life Sciences,1,Female,3,2,Manufacturing Director,8591,Single,4,No,11,3,0,16,3,2,3,1
22,52,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,Female,1,3,Laboratory Technician,8972,Divorced,1,No,17,3,1,27,2,2,8,1
23,43,No,Travel_Rarely,Research & Development,1,2,Marketing,2,Male,3,2,Manager,7460,Divorced,0,Yes,11,3,0,19,4,2,3,3
24,18,Yes,Travel_Rarely,Research & Development,2,3,Medical,1,Female,1,1,Laboratory Technician,5811,Married,1,No,11,3,0,0,1,1,0,0
25,18,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,4,Manufacturing Director,7896,Married,4,Yes,11,3,1,0,2,2,0,0
26,39,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,Male,2,3,Research Scientist,7647,Married,2,No,11,3,1,15,5,1,3,1
27,41,No,Travel_Rarely,Research & Development,4,3,Life Sciences,4,Male,3,1,Research Director,9031,Married,4,No,14,3,1,21,3,4,3,1
28,51,No,Travel_Rarely,Research & Development,14,2,Human Resources,3,Female,3,2,Research Director,6655,Single,4,No,11,3,1,30,2,3,0,0
29,43,No,Travel_Rarely,Research & Development,20,4,Human Resources,2,Female,1,1,Manager,6356,Married,3,No,13,3,2,21,2,3,0,0
30,45,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Female,4,2,Manager,2854,Divorced,0,No,14,3,1,21,1,1,2,2
31,27,No,Travel_Rarely,Research & Development,29,3,Life Sciences,2,Female,2,3,Manufacturing Director,10455,Single,1,Yes,13,3,0,6,2,4,6,0
32,46,No,Non-Travel,Research & Development,1,2,Medical,3,Male,3,4,Healthcare Representative,9539,Married,2,Yes,13,3,0,24,3,3,14,1
33,34,No,Travel_Rarely,Research & Development,16,3,Medical,2,Female,3,3,Manufacturing Director,5486,Divorced,3,No,15,3,2,9,4,3,1,0
34,40,No,Travel_Rarely,Research & Development,1,2,Marketing,2,Female,1,2,Research Scientist,8034,Divorced,3,No,11,3,2,18,1,1,5,0
35,35,No,Travel_Rarely,Research & Development,1,4,Marketing,3,Male,4,4,Laboratory Technician,7683,Married,0,No,12,3,0,14,5,4,2,1
36,36,No,Travel_Rarely,Research & Development,1,1,Marketing,3,Female,1,3,Research Director,8526,Single,2,No,11,3,1,11,1,1,2,2
37,39,Yes,Travel_Rarely,Research & Development,7,5,Medical,1,Male,4,3,Research Scientist,4481,Married,1,Yes,20,3,1,18,2,3,5,0
38,48,No,Travel_Rarely,Research & Development,3,3,Human Resources,4,Female,2,2,Research Director,7323,Single,0,No,13,3,2,26,0,2,2,2
39,48,Yes,Travel_Rarely,Research & Development,10,2,Marketing,1,Male,4,2,Manager,5661,Married,5,No,14,3,3,24,3,1,2,1
40,31,No,Travel_Rarely,Human Resources,3,1,Medical,1,Male,3,3,Human Resources,8703,Divorced,1,No,13,3,1,11,4,1,1,1
