EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,JobRole,MonthlyIncome,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
1,41.0,No,Travel_Rarely,Research & Development,3,2,Marketing,4.0,Female,1,2.0,Research Director,6758.0,Single,1.0,No,15,3,1,17,0,4,4,1
2,35.0,No,Travel_Rarely,Sales,7,2,Medical,1.0,Female,4,2.0,Sales Representative,7699.0,Divorced,0.0,No,17,3,1,11,3,2,3,2
3,18.0,Yes,Travel_Rarely,Sales,11,3,Medical,1.0,Male,1,3.0,Sales Representative,7731.0,Single,4.0,Yes,17,4,2,0,1,1,0,0
4,43.0,No,Travel_Rarely,,3,5,Marketing,1.0,Male,3,3.0,Research Scientist,6626.0,Married,3.0,Yes,14,3,1,19,3,3,2,2
5,29.0,No,Travel_Rarely,Research & Development,6,4,Technical Degree,1.0,M,1,2.0,Research Director,7046.0,Single,4.0,Yes,13,4,0,5,2,4,5,4
6,40.0,No,Travel_Rarely,Research & Development,29,3,Human Resources,2.0,Female,2,4.0,Research Scientist,9057.0,Divorced,3.0,Yes,14,3,1,17,3,4,1,1
7,37.0,No,Travel_Frequently,Sales,9,4,Technical Degree,2.0,Female,1,3.0,Sales Executive,8128.0,Single,1.0,No,11,3,2,12,3,4,5,4
8,38.0,No,Travel_Rarely,Sales,1,4,Technical Degree,2.0,Female,2,1.0,Manager,10937.0,Single,1.0,No,16,3,1,17,3,4,10,3
9,40.0,No,Travel_Rarely,Research & Development,18,3,Human Resources,1.0,Female,3,4.0,Research Scientist,7735.0,Married,3.0,No,14,3,2,14,0,4,3,2
10,33.0,No,Non-Travel,Research & Development,1,3,Other,2.0,Female,2,3.0,Research Director,10124.0,Divorced,3.0,Yes,14,3,0,11,2,3,11,4
11,41.0,No,Travel_Rarely,Research & Development,1,3,Other,2.0,Male,1,2.0,Laboratory Technician,8892.0,Married,4.0,No,21,3,2,26,1,2,8,2
12,25.0,No,Travel_Frequently,Sales,4,1,Human Resources,1.0,Female,2,1.0,Sales Representative,10483.0,Divorced,3.0,No,17,3,0,7,5,2,6,6
13,34.0,No,Non-Travel,Sales ,4,3,Medical,3.0,Female,4,2.0,Manager,6491.0,Married,1.0,No,14,4,1,15,1,2,0,0
14,38.0,No,Travel_Rarely,Research & Development,1,3,Human Resources,2.0,M,2,1.0,Healthcare Representative,9372.0,Married,3.0,No,13,3,0,16,4,2,8,2
15,36.0,No,Travel_Rarely,Research & Development,1,5,Other,4.0,Female,1,1.0,Manufacturing Director,5978.0,Divorced,5.0,No,11,4,0,14,5,4,2,2
16,44.0,No,Travel_Rarely,Research & Development,4,4,Medical,1.0,Male,4,1.0,Research Director,6970.0,Married,5.0,No,21,3,3,22,4,2,6,6
17,36.0,No,Travel_Rarely,R&D,10,3,Other,1.0,Male,2,2.0,Research Director,8175.0,Married,1.0,No,15,3,3,13,0,2,0,0
18,37.0,No,Travel_Rarely,Research & Development,4,2,Human Resources,2.0,Female,4,4.0,Manager,6932.0,Single,1.0,No,21,3,0,13,1,4,6,6
19,25.0,No,Travel_Rarely,Sales,1,3,Life Sciences,1.0,Female,3,3.0,Sales Executive,7970.0,Divorced,,No,15,3,2,6,2,2,6,5
20,42.0,No,Travel_Frequently,Sales,2,1,Medical,2.0,Female,1,,Manager,,Married,0.0,No,12,3,2,18,4,4, 10 ,3
21,39.0,No,Non-Travel,Research & Development,4,4,Life Sciences,1.0,Female,3,2.0,Manufacturing Director,8591.0,Single,4.0,No,11,3,0,16,3,2,3,1
22,52.0,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1.0,Female,1,3.0,Laboratory Technician,8972.0,Divorced,1.0,No,17,3,1,27,2,2,8,1
23,43.0,No,Travel_Rarely, Research & Development,1,2,Marketing,2.0,Male,3,2.0,Manager,7460.0,Divorced,0.0,Yes,11,3,0,19,4,2,3,3
24,18.0,Yes,Travel_Rarely,Research & Development,2,3,Medical,1.0,Female,1,1.0,Laboratory Technician,5811.0,Married,1.0,No,11,3,0,0,1,1,0,0
25,18.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1.0,Female,2,4.0,Manufacturing Director,7896.0,Married,4.0,Yes,11,3,1,0,2,2,0,0
