EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,JobRole,MonthlyIncome,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,AttritionRiskScore,RiskCategory,PredictedAttrition,EstReplacementCost
1,41,No,Travel_Rarely,Research & Development,3,2,Marketing,4,Female,1,2,Research Director,6758,Single,1,No,15,3,1,17,0,4,4,1,29.9,Low,No,0.0
2,35,No,Travel_Rarely,Sales,7,2,Medical,1,Female,4,2,Sales Representative,7699,Divorced,0,No,17,3,1,11,3,2,3,2,41.8,Medium,No,0.0
3,18,Yes,Travel_Rarely,Sales,11,3,Medical,1,Male,1,3,Sales Representative,7731,Single,4,Yes,17,4,2,0,1,1,0,0,73.3,High,Yes,46386.0
4,37,No,Travel_Rarely,Research & Development,3,5,Marketing,1,Male,3,3,Research Scientist,7417,Married,2,Yes,14,3,1,19,3,3,2,2,41.3,Medium,No,0.0
5,29,No,Travel_Rarely,Research & Development,6,4,Technical Degree,1,Male,1,2,Research Director,7046,Single,4,Yes,13,4,0,5,2,4,5,4,37.8,Medium,No,0.0
6,40,No,Travel_Rarely,Research & Development,29,3,Human Resources,2,Female,2,4,Research Scientist,9057,Divorced,3,Yes,14,3,1,17,3,4,1,1,31.4,Medium,No,0.0
7,37,No,Travel_Frequently,Sales,9,4,Technical Degree,2,Female,1,3,Sales Executive,8128,Single,1,No,11,3,2,12,3,4,5,4,27.2,Low,No,0.0
8,38,No,Travel_Rarely,Sales,1,4,Technical Degree,2,Female,2,1,Manager,10937,Single,1,No,16,3,1,17,3,4,10,3,8.3,Low,No,0.0
9,40,No,Travel_Rarely,Research & Development,18,3,Human Resources,1,Female,3,4,Research Scientist,7735,Married,3,No,14,3,2,14,0,4,3,2,21.7,Low,No,0.0
10,33,No,Non-Travel,Research & Development,1,3,Other,2,Female,2,3,Research Director,10124,Divorced,3,Yes,14,3,0,11,2,3,11,4,15.4,Low,No,0.0
11,41,No,Travel_Rarely,Research & Development,1,3,Other,2,Male,1,2,Laboratory Technician,8892,Married,4,No,21,3,2,26,1,2,8,2,10.9,Low,No,0.0
12,25,No,Travel_Frequently,Sales,4,1,Human Resources,1,Female,2,1,Sales Representative,10483,Divorced,3,No,17,3,0,7,5,2,6,6,21.0,Low,No,0.0
13,34,No,Non-Travel,Sales,4,3,Medical,3,Female,4,2,Manager,6491,Married,1,No,14,4,1,15,1,2,0,0,44.4,Medium,No,0.0
14,38,No,Travel_Rarely,Research & Development,1,3,Human Resources,2,Male,2,1,Healthcare Representative,9372,Married,3,No,13,3,0,16,4,2,8,2,14.3,Low,No,0.0
15,36,No,Travel_Rarely,Research & Development,1,5,Other,4,Female,1,1,Manufacturing Director,5978,Divorced,5,No,11,4,0,14,5,4,2,2,26.6,Low,No,0.0
16,44,No,Travel_Rarely,Research & Development,4,4,Medical,1,Male,4,1,Research Director,6970,Married,5,No,21,3,3,22,4,2,6,6,34.1,Medium,No,0.0
17,36,No,Travel_Rarely,Research & Development,10,3,Other,1,Male,2,2,Research Director,8175,Married,1,No,15,3,3,13,0,2,0,0,32.6,Medium,No,0.0
18,37,No,Travel_Rarely,Research & Development,4,2,Human Resources,2,Female,4,4,Manager,6932,Single,1,No,21,3,0,13,1,4,6,6,22.2,Low,No,0.0
19,25,No,Travel_Rarely,Sales,1,3,Life Sciences,1,Female,3,3,Sales Executive,7970,Divorced,2,No,15,3,2,6,2,2,6,5,22.7,Low,No,0.0
20,42,No,Travel_Frequently,Sales,2,1,Medical,2,Female,1,1,Manager,7238,Married,0,No,12,3,2,18,4,4,10,3,26.5,Low,No,0.0
21,39,No,Non-Travel,Research & Development,4,4,Life Sciences,1,Female,3,2,Manufacturing Director,8591,Single,4,No,11,3,0,16,3,2,3,1,31.1,Medium,No,0.0
